Doc0 tragedy of romeo and juliet
Doc1 by william shakespeare
Doc2 dramatis personae
Doc3   chorus
Doc4   escalus prince of verona
Doc5   paris a young count kinsman to the prince
Doc6   montague heads of two houses at variance with each other
Doc7   capulet heads of two houses at variance with each other
Doc8   an old man of the capulet family
Doc9   romeo son to montague
Doc10   tybalt nephew to lady capulet
Doc11   mercutio kinsman to the prince and friend to romeo
Doc12   benvolio nephew to montague and friend to romeo
Doc13   tybalt nephew to lady capulet
Doc14   friar laurence franciscan
Doc15   friar john franciscan
Doc16   balthasar servant to romeo
Doc17   abram servant to montague
Doc18   sampson servant to capulet
Doc19   gregory servant to capulet
Doc20   peter servant to juliets nurse
Doc21   an apothecary
Doc22   three musicians
Doc23   an officer
Doc24   lady montague wife to montague
Doc25   lady capulet wife to capulet
Doc26   juliet daughter to capulet
Doc27   nurse to juliet
Doc28   citizens of verona gentlemen and gentlewomen of both houses
Doc29     maskers torchbearers pages guards watchmen servants and
Doc30     attendants
Doc31                             scene verona mantua
Doc32                         the prologue
Doc33                         enter chorus
Doc34   chor two households both alike in dignity
Doc35     in fair verona where we lay our scene
Doc36     from ancient grudge break to new mutiny
Doc37     where civil blood makes civil hands unclean
Doc38     from forth the fatal loins of these two foes
Doc39     a pair of star crossd lovers take their life
Doc40     whose misadventurd piteous overthrows
Doc41     doth with their death bury their parents strife
Doc42     the fearful passage of their death markd love
Doc43     and the continuance of their parents rage
Doc44     which but their childrens end naught could remove
Doc45     is now the two hours traffic of our stage
Doc46     the which if you with patient ears attend
Doc47     what here shall miss our toil shall strive to mend
Doc48                                                          [exit]
Doc49 act i scene i
Doc50 verona a public place
Doc51 enter sampson and gregory (with swords and bucklers) of the house
Doc52 of capulet
Doc53   samp gregory on my word well not carry coals
Doc54   greg no for then we should be colliers
Doc55   samp i mean an we be in choler well draw
Doc56   greg ay while you live draw your neck out of collar
Doc57   samp i strike quickly being moved
Doc58   greg but thou art not quickly moved to strike
Doc59   samp a dog of the house of montague moves me
Doc60   greg to move is to stir and to be valiant is to stand
Doc61     therefore if thou art moved thou runnst away
Doc62   samp a dog of that house shall move me to stand i will take
Doc63     the wall of any man or maid of montagues
Doc64   greg that shows thee a weak slave for the weakest goes to the
Doc65     wall
Doc66   samp tis true and therefore women being the weaker vessels
Doc67     are ever thrust to the wall therefore i will push montagues men
Doc68     from the wall and thrust his maids to the wall
Doc69   greg the quarrel is between our masters and us their men
Doc70   samp tis all one i will show myself a tyrant when i have
Doc71     fought with the men i will be cruel with the maids  i will cut off
Doc72     their heads
Doc73   greg the heads of the maids?
Doc74   samp ay the heads of the maids or their maidenheads
Doc75     take it in what sense thou wilt
Doc76   greg they must take it in sense that feel it
Doc77   samp me they shall feel while i am able to stand and tis known i
Doc78     am a pretty piece of flesh
Doc79   greg tis well thou art not fish if thou hadst thou hadst
Doc80     been poor john draw thy tool here comes two of the house of
Doc81     montagues
Doc82            enter two other servingmen [abram and balthasar]
Doc83   samp my naked weapon is out quarrel i will back thee
Doc84   greg how? turn thy back and run?
Doc85   samp fear me not
Doc86   greg no marry i fear thee
Doc87   samp let us take the law of our sides let them begin
Doc88   greg i will frown as i pass by and let them take it as they list
Doc89   samp nay as they dare i will bite my thumb at them which is
Doc90     disgrace to them if they bear it
Doc91   abr do you bite your thumb at us sir?
Doc92   samp i do bite my thumb sir
Doc93   abr do you bite your thumb at us sir?
Doc94   samp [aside to gregory] is the law of our side if i say ay?
Doc95   greg [aside to sampson] no
Doc96   samp no sir i do not bite my thumb at you sir but i bite my
Doc97     thumb sir
Doc98   greg do you quarrel sir?
Doc99   abr quarrel sir? no sir
Doc100   samp but if you do sir am for you i serve as good a man as
Doc101     you
Doc102   abr no better
Doc103   samp well sir
Doc104                         enter benvolio
Doc105   greg [aside to sampson] say better here comes one of my
Doc106     masters kinsmen
Doc107   samp yes better sir
Doc108   abr you lie
Doc109   samp draw if you be men gregory remember thy swashing blow
Doc110                                                      they fight
Doc111   ben part fools [beats down their swords]
Doc112     put up your swords you know not what you do
Doc113                           enter tybalt
Doc114   tyb what art thou drawn among these heartless hinds?
Doc115     turn thee benvolio look upon thy death
Doc116   ben i do but keep the peace put up thy sword
Doc117     or manage it to part these men with me
Doc118   tyb what drawn and talk of peace? i hate the word
Doc119     as i hate hell all montagues and thee
Doc120     have at thee coward                            they fight
Doc121      enter an officer and three or four citizens with clubs or
Doc122                           partisans
Doc123   officer clubs bills and partisans strike beat them down
Doc124   citizens down with the capulets down with the montagues
Doc125            enter old capulet in his gown and his wife
Doc126   cap what noise is this? give me my long sword ho
Doc127   wife a crutch a crutch why call you for a sword?
Doc128   cap my sword i say old montague is come
Doc129     and flourishes his blade in spite of me
Doc130                  enter old montague and his wife
Doc131   mon thou villain capulet  hold me not let me go
Doc132   m wife thou shalt not stir one foot to seek a foe
Doc133                 enter prince escalus with his train
Doc134   prince rebellious subjects enemies to peace
Doc135     profaners of this neighbour stained steel 
Doc136     will they not hear? what ho you men you beasts
Doc137     that quench the fire of your pernicious rage
Doc138     with purple fountains issuing from your veins
Doc139     on pain of torture from those bloody hands
Doc140     throw your mistempered weapons to the ground
Doc141     and hear the sentence of your moved prince
Doc142     three civil brawls bred of an airy word
Doc143     by thee old capulet and montague
Doc144     have thrice disturbd the quiet of our streets
Doc145     and made veronas ancient citizens
Doc146     cast by their grave beseeming ornaments
Doc147     to wield old partisans in hands as old
Doc148     cankred with peace to part your cankred hate
Doc149     if ever you disturb our streets again
Doc150     your lives shall pay the forfeit of the peace
Doc151     for this time all the rest depart away
Doc152     you capulet shall go along with me
Doc153     and montague come you this afternoon
Doc154     to know our farther pleasure in this case
Doc155     to old freetown our common judgment place
Doc156     once more on pain of death all men depart
Doc157               exeunt [all but montague his wife and benvolio]
Doc158   mon who set this ancient quarrel new abroach?
Doc159     speak nephew were you by when it began?
Doc160   ben here were the servants of your adversary
Doc161     and yours close fighting ere i did approach
Doc162     i drew to part them in the instant came
Doc163     the fiery tybalt with his sword prepard
Doc164     which as he breathd defiance to my ears
Doc165     he swung about his head and cut the winds
Doc166     who nothing hurt withal hissd him in scorn
Doc167     while we were interchanging thrusts and blows
Doc168     came more and more and fought on part and part
Doc169     till the prince came who parted either part
Doc170   m wife o where is romeo? saw you him to day?
Doc171     right glad i am he was not at this fray
Doc172   ben madam an hour before the worshippd sun
Doc173     peerd forth the golden window of the east
Doc174     a troubled mind drave me to walk abroad
Doc175     where underneath the grove of sycamore
Doc176     that westward rooteth from the citys side
Doc177     so early walking did i see your son
Doc178     towards him i made but he was ware of me
Doc179     and stole into the covert of the wood
Doc180     i  measuring his affections by my own
Doc181     which then most sought where most might not be found
